AERONET Version 3
Helmos_NTUA
Version 3: Almucantar Level 1.5 Inversion
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
All Points,Contact: PI=Alex_Papayannis; PI Email=apdlidar@central.ntua.gr 
UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html
Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Absorption_Angstrom_Exponent_440-870nm,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
Helmos_NTUA,07:11:2024,11:19:21,312,312.471771,0.018622,0.011562,0.011498,0.010757,0.748538,56.728765,56.535879,3.563631,0.199532,0.056168,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.035600,0.065000,0.193150,0.196630,0,0,31:12:2024,22:39:06,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,08:11:2024,06:34:51,313,313.274201,0.012576,0.007247,0.006304,0.005655,1.040434,74.671513,75.147197,5.401149,0.194505,0.031782,4,9,2,2,4,9,2,3,4,9,2,2,4,9,1,2,0.047410,0.079800,0.221400,0.221390,0,0,31:12:2024,14:53:48,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,08:11:2024,07:27:00,313,313.310417,0.012854,0.009242,0.007657,0.008163,0.760482,67.002290,67.408604,6.409523,0.147848,0.030733,4,10,7,5,4,10,7,5,4,10,7,5,4,10,7,5,0.044820,0.075140,0.206540,0.207010,0,0,31:12:2024,14:55:32,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,08:11:2024,11:19:22,313,313.471782,0.016697,0.009714,0.009004,0.008903,0.942153,57.003231,56.811404,6.740797,0.214013,0.050997,4,10,7,5,4,8,7,5,4,6,8,4,2,9,8,4,0.042830,0.071540,0.194740,0.195350,0,0,31:12:2024,14:57:21,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,08:11:2024,13:19:22,313,313.555116,0.014918,0.010300,0.009503,0.007447,0.682005,70.207526,69.771726,6.865315,0.194905,0.046096,4,6,7,5,4,7,6,5,4,10,6,5,4,10,7,6,0.046020,0.077050,0.211880,0.210720,0,0,31:12:2024,14:58:50,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,09:11:2024,07:08:46,314,314.297755,0.016009,0.007823,0.007479,0.007354,1.172694,69.781672,70.214025,3.568304,0.216037,0.041741,4,10,7,5,4,10,7,5,4,9,6,4,4,9,5,3,0.059760,0.090370,0.221280,0.217570,0,0,31:12:2024,08:52:34,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,09:11:2024,09:19:18,314,314.388403,0.023206,0.012566,0.011009,0.009581,1.127892,56.402079,56.560248,4.446754,0.346120,0.049301,4,10,8,4,4,10,8,4,4,10,7,4,4,10,5,4,0.056330,0.084660,0.204220,0.201230,0,0,31:12:2024,08:54:00,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,09:11:2024,10:19:26,314,314.430162,0.020836,0.013754,0.012327,0.011389,0.789962,55.064704,55.046472,2.979873,0.228709,0.045777,4,10,8,4,4,10,8,4,4,8,7,3,2,9,6,2,0.056130,0.084300,0.203100,0.200080,0,0,31:12:2024,08:37:05,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,09:11:2024,11:19:21,314,314.471771,0.018543,0.012548,0.011070,0.009224,0.772111,57.270170,57.079508,4.192588,0.204173,0.042873,4,10,7,5,4,10,7,5,4,10,7,5,4,10,7,5,0.056550,0.084960,0.204970,0.201660,0,0,31:12:2024,08:38:43,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,09:11:2024,12:19:22,314,314.513449,0.016634,0.011576,0.010785,0.010969,0.656833,62.637373,62.305027,5.104356,0.209378,0.045732,3,9,8,4,3,9,8,4,3,7,6,4,3,6,7,5,0.057770,0.086900,0.210590,0.206620,0,0,31:12:2024,08:40:29,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,10:11:2024,07:10:25,315,315.298900,0.013444,0.007873,0.007091,0.006742,0.969645,69.783706,70.212587,3.994494,0.236150,0.042429,4,10,7,5,4,10,7,5,4,10,7,5,4,10,7,5,0.052050,0.082850,0.215770,0.214240,0,0,31:12:2024,09:01:24,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,10:11:2024,07:28:20,315,315.311343,0.015027,0.008882,0.007789,0.007254,0.990430,67.314964,67.716824,4.498424,0.291482,0.045849,4,10,7,5,4,10,7,5,4,10,7,5,4,10,7,5,0.051270,0.081500,0.211600,0.210230,0,0,31:12:2024,09:03:10,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,10:11:2024,08:19:19,315,315.346748,0.015592,0.009163,0.008266,0.007483,0.962162,61.305352,61.611617,4.844727,0.328814,0.048770,3,10,8,5,3,10,8,5,3,10,8,5,1,9,8,5,0.049770,0.078920,0.203600,0.202550,0,0,31:12:2024,08:44:49,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,10:11:2024,09:19:21,315,315.388438,0.016522,0.010714,0.010117,0.009664,0.748998,56.677787,56.835358,3.274984,0.229131,0.057622,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.048930,0.077460,0.199000,0.198130,0,0,31:12:2024,08:46:39,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,10:11:2024,10:19:22,315,315.430116,0.013757,0.010793,0.010846,0.010388,0.370930,55.342973,55.325333,3.043604,0.197294,0.067374,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.048740,0.077120,0.197880,0.196960,0,0,31:12:2024,08:48:39,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,10:11:2024,11:19:24,315,315.471806,0.015689,0.012661,0.011327,0.010378,0.479858,57.535971,57.346314,2.688538,0.170655,0.066601,4,10,7,3,4,10,5,3,4,10,4,2,4,10,2,2,0.049130,0.077750,0.199760,0.198550,0,0,31:12:2024,08:50:32,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,10:11:2024,12:19:22,315,315.513449,0.013770,0.010645,0.010295,0.009859,0.444264,62.873021,62.542139,2.927112,0.138632,0.061716,3,10,8,3,3,10,8,3,3,10,8,2,3,10,8,5,0.050250,0.079620,0.205390,0.203550,0,0,31:12:2024,08:52:10,141,38.005580,22.198250,1700.000000,lev15,Almucantar
