Date,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,
306.00,0.02,0.02,0.00,0.01,0.01,0.02,-0.01,-0.01,0.00,0.00,0.00,0.03,-0.00,0.01,0.02,0.00,0.01,-0.01,0.01,0.01,-0.01,0.02,0.01,0.00,0.01,-0.00,0.00,0.01,-0.02,0.00,0.02,-0.04,-0.01,-0.02,0.01,0.01,0.01,0.00,0.00,0.02,0.01,0.03,0.02,0.01,0.03,0.04,0.05,0.02,
307.00,0.02,0.02,0.01,0.01,0.02,0.02,0.00,-0.00,0.01,0.01,-0.01,0.03,0.01,0.02,0.02,0.00,0.00,-0.00,0.02,0.01,0.00,0.02,0.01,0.00,0.01,-0.00,0.01,0.01,-0.02,0.01,0.03,-0.04,-0.01,-0.01,0.00,0.01,0.02,0.01,0.01,0.02,0.02,0.04,0.02,0.01,0.03,0.04,0.06,0.03,
308.00,0.03,0.02,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.02,-0.00,0.02,0.02,0.02,0.01,0.01,0.01,0.00,0.02,0.01,0.01,0.02,0.01,-0.00,-0.00,-0.00,0.02,0.01,-0.01,0.02,0.03,-0.03,-0.01,0.00,0.01,0.01,0.04,0.01,0.01,0.02,0.04,0.04,0.03,0.02,0.02,0.04,0.06,0.04,
309.00,0.02,0.02,0.01,0.01,0.00,0.00,0.01,0.00,0.01,0.02,0.00,0.02,0.02,0.04,0.01,0.00,0.01,0.01,0.02,0.02,0.03,0.02,0.01,0.01,-0.00,0.00,0.02,0.02,-0.01,0.02,0.04,-0.01,-0.01,0.01,0.00,0.01,0.03,0.02,0.01,0.02,0.04,0.04,0.05,0.03,0.03,0.03,0.06,0.05,
310.00,0.02,0.02,0.02,0.02,0.00,0.00,0.01,0.01,0.02,0.01,0.00,0.01,0.02,0.04,0.01,0.00,0.01,0.02,0.02,0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.03,0.03,-0.01,-0.01,0.02,0.02,0.01,0.05,0.02,0.02,0.03,0.04,0.04,0.05,0.04,0.03,0.04,0.07,0.07,
311.00,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.00,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.03,0.02,0.00,0.03,0.03,0.01,0.00,0.02,0.01,0.03,0.03,0.02,0.04,0.04,-0.00,0.00,0.02,0.02,0.02,0.06,0.03,0.02,0.03,0.05,0.05,0.06,0.05,0.04,0.04,0.07,0.08,
312.00,0.01,0.02,0.02,0.00,0.01,0.02,0.02,0.00,0.03,0.00,0.01,0.02,0.03,0.03,0.02,0.01,-0.00,0.04,0.01,0.01,0.03,0.04,0.02,0.01,0.03,0.02,0.03,0.03,0.03,0.04,0.05,0.01,0.00,0.03,0.02,0.03,0.06,0.03,0.02,0.05,0.05,0.06,0.07,0.06,0.05,0.04,0.08,0.10,
313.00,0.01,0.02,0.03,-0.01,0.02,0.03,0.02,-0.00,0.03,0.01,0.02,0.02,0.03,0.02,0.01,0.01,-0.01,0.03,0.02,0.02,0.03,0.04,0.02,0.01,0.04,0.02,0.03,0.03,0.03,0.04,0.05,0.02,0.01,0.03,0.02,0.04,0.07,0.05,0.03,0.06,0.05,0.07,0.07,0.06,0.06,0.04,0.10,0.12,
314.00,0.01,0.02,0.03,-0.01,0.03,0.04,0.02,0.01,0.03,0.01,0.03,0.00,0.03,0.02,0.01,0.02,0.00,0.03,0.02,0.03,0.03,0.04,0.03,0.01,0.05,0.03,0.03,0.03,0.05,0.03,0.06,0.02,0.03,0.04,0.03,0.06,0.08,0.05,0.04,0.07,0.05,0.08,0.07,0.07,0.06,0.05,0.12,0.13,
315.00,0.01,0.02,0.03,-0.00,0.03,0.06,0.03,0.02,0.03,0.01,0.03,0.00,0.03,0.03,0.02,0.02,0.01,0.03,0.03,0.04,0.04,0.03,0.04,0.02,0.06,0.03,0.02,0.04,0.04,0.02,0.06,0.03,0.04,0.03,0.04,0.06,0.07,0.05,0.06,0.06,0.06,0.09,0.08,0.08,0.08,0.06,0.13,0.13,
316.00,0.02,0.03,0.03,0.00,0.03,0.05,0.04,0.02,0.03,0.02,0.04,0.00,0.03,0.04,0.03,0.02,0.02,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.05,0.03,0.03,0.04,0.03,0.03,0.06,0.04,0.05,0.04,0.04,0.07,0.08,0.06,0.06,0.08,0.07,0.10,0.09,0.09,0.09,0.08,0.14,0.14,
317.00,0.03,0.04,0.03,0.01,0.03,0.05,0.04,0.02,0.02,0.03,0.04,0.02,0.03,0.04,0.03,0.02,0.03,0.04,0.04,0.04,0.05,0.03,0.05,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.06,0.06,0.06,0.05,0.04,0.08,0.08,0.09,0.07,0.09,0.09,0.10,0.10,0.10,0.11,0.09,0.15,0.15,
318.00,0.04,0.04,0.02,0.02,0.03,0.04,0.05,0.03,0.02,0.03,0.05,0.03,0.04,0.05,0.04,0.03,0.04,0.04,0.05,0.04,0.05,0.04,0.06,0.02,0.04,0.05,0.05,0.04,0.03,0.05,0.07,0.07,0.07,0.06,0.05,0.08,0.10,0.09,0.08,0.09,0.09,0.10,0.12,0.11,0.13,0.10,0.15,0.17,
319.00,0.04,0.03,0.01,0.03,0.02,0.03,0.04,0.04,0.02,0.02,0.06,0.05,0.03,0.05,0.04,0.04,0.04,0.05,0.06,0.05,0.06,0.04,0.07,0.02,0.04,0.05,0.05,0.04,0.03,0.06,0.07,0.08,0.07,0.07,0.06,0.08,0.10,0.08,0.08,0.10,0.10,0.11,0.13,0.13,0.15,0.10,0.15,0.17,
320.00,0.05,0.05,0.02,0.03,0.02,0.02,0.05,0.03,0.02,0.03,0.05,0.06,0.03,0.04,0.04,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.04,0.04,0.05,0.06,0.04,0.04,0.07,0.08,0.09,0.07,0.07,0.06,0.09,0.12,0.09,0.07,0.10,0.10,0.11,0.14,0.15,0.15,0.09,0.15,0.19,
321.00,0.04,0.05,0.02,0.03,0.02,0.02,0.05,0.04,0.03,0.01,0.04,0.08,0.03,0.03,0.03,0.05,0.05,0.05,0.06,0.04,0.06,0.06,0.06,0.04,0.06,0.05,0.05,0.04,0.05,0.09,0.08,0.10,0.08,0.09,0.07,0.09,0.12,0.10,0.07,0.11,0.11,0.11,0.15,0.15,0.15,0.11,0.15,0.20,
322.00,0.04,0.05,0.02,0.04,0.02,0.01,0.04,0.04,0.04,0.02,0.03,0.07,0.03,0.03,0.03,0.07,0.04,0.06,0.06,0.05,0.07,0.06,0.06,0.05,0.07,0.06,0.04,0.04,0.07,0.09,0.08,0.10,0.09,0.09,0.07,0.10,0.14,0.10,0.07,0.10,0.12,0.12,0.15,0.16,0.15,0.12,0.16,0.21,
323.00,0.04,0.05,0.03,0.04,0.03,0.02,0.05,0.04,0.05,0.03,0.03,0.06,0.04,0.03,0.03,0.07,0.03,0.06,0.05,0.04,0.07,0.06,0.06,0.07,0.08,0.06,0.04,0.04,0.08,0.09,0.07,0.10,0.10,0.09,0.08,0.09,0.14,0.10,0.08,0.10,0.13,0.14,0.15,0.17,0.15,0.13,0.19,0.24,
324.00,0.05,0.05,0.04,0.04,0.03,0.02,0.05,0.05,0.05,0.03,0.02,0.05,0.05,0.04,0.04,0.07,0.04,0.06,0.06,0.05,0.07,0.07,0.06,0.07,0.09,0.07,0.04,0.05,0.08,0.10,0.08,0.12,0.11,0.09,0.10,0.10,0.15,0.12,0.09,0.11,0.14,0.15,0.16,0.19,0.15,0.14,0.22,0.26,
325.00,0.05,0.05,0.05,0.04,0.03,0.04,0.05,0.06,0.06,0.03,0.03,0.04,0.05,0.04,0.05,0.07,0.04,0.06,0.07,0.05,0.08,0.06,0.06,0.08,0.10,0.08,0.05,0.06,0.09,0.10,0.07,0.12,0.12,0.10,0.09,0.11,0.16,0.13,0.11,0.12,0.15,0.17,0.18,0.20,0.16,0.15,0.23,0.28,
326.00,0.06,0.04,0.05,0.05,0.03,0.04,0.06,0.07,0.06,0.04,0.04,0.05,0.06,0.04,0.06,0.08,0.04,0.06,0.07,0.06,0.09,0.06,0.07,0.08,0.09,0.08,0.07,0.07,0.09,0.11,0.08,0.15,0.12,0.10,0.09,0.12,0.17,0.14,0.12,0.14,0.16,0.19,0.19,0.22,0.18,0.16,0.26,0.30,
327.00,0.07,0.04,0.05,0.05,0.04,0.05,0.07,0.08,0.06,0.05,0.06,0.05,0.06,0.05,0.05,0.08,0.06,0.06,0.07,0.07,0.09,0.08,0.07,0.09,0.09,0.09,0.07,0.09,0.09,0.12,0.08,0.16,0.12,0.11,0.10,0.13,0.17,0.14,0.14,0.14,0.17,0.20,0.21,0.23,0.20,0.17,0.28,0.31,
328.00,0.07,0.04,0.05,0.05,0.03,0.06,0.07,0.08,0.06,0.05,0.07,0.05,0.06,0.06,0.06,0.07,0.06,0.06,0.07,0.08,0.09,0.09,0.08,0.08,0.09,0.09,0.08,0.10,0.09,0.12,0.11,0.17,0.12,0.11,0.11,0.15,0.18,0.15,0.15,0.16,0.17,0.20,0.22,0.24,0.21,0.18,0.28,0.32,
329.00,0.06,0.05,0.05,0.06,0.03,0.07,0.06,0.08,0.06,0.06,0.08,0.05,0.05,0.07,0.07,0.08,0.07,0.06,0.07,0.09,0.09,0.10,0.08,0.08,0.08,0.09,0.09,0.10,0.09,0.13,0.11,0.18,0.13,0.13,0.12,0.17,0.19,0.16,0.15,0.17,0.17,0.21,0.21,0.24,0.22,0.18,0.28,0.33,
330.00,0.07,0.05,0.04,0.06,0.04,0.07,0.06,0.07,0.06,0.06,0.08,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.10,0.10,0.11,0.09,0.10,0.09,0.10,0.08,0.10,0.09,0.13,0.11,0.19,0.13,0.13,0.12,0.17,0.19,0.18,0.16,0.18,0.18,0.21,0.21,0.25,0.24,0.18,0.28,0.34,
331.00,0.06,0.06,0.04,0.06,0.04,0.07,0.07,0.06,0.07,0.08,0.07,0.06,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.10,0.11,0.11,0.10,0.09,0.09,0.11,0.08,0.11,0.09,0.12,0.11,0.17,0.14,0.13,0.14,0.19,0.19,0.17,0.16,0.18,0.18,0.22,0.21,0.24,0.25,0.19,0.28,0.35,
332.00,0.06,0.06,0.05,0.07,0.05,0.07,0.07,0.06,0.08,0.07,0.07,0.06,0.08,0.08,0.08,0.07,0.06,0.07,0.08,0.11,0.11,0.11,0.09,0.08,0.10,0.11,0.08,0.10,0.09,0.11,0.11,0.18,0.16,0.13,0.14,0.19,0.19,0.19,0.16,0.19,0.19,0.22,0.21,0.24,0.25,0.19,0.28,0.36,
333.00,0.05,0.05,0.05,0.07,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.11,0.10,0.11,0.09,0.09,0.10,0.10,0.08,0.09,0.10,0.11,0.11,0.18,0.16,0.14,0.14,0.18,0.19,0.19,0.16,0.19,0.19,0.22,0.21,0.24,0.25,0.18,0.29,0.36,
334.00,0.04,0.05,0.06,0.07,0.06,0.07,0.07,0.05,0.07,0.08,0.06,0.06,0.06,0.08,0.06,0.07,0.06,0.06,0.08,0.10,0.11,0.09,0.09,0.09,0.10,0.10,0.07,0.09,0.09,0.11,0.10,0.18,0.15,0.13,0.12,0.18,0.18,0.19,0.16,0.18,0.20,0.21,0.22,0.25,0.25,0.18,0.29,0.35,
335.00,0.04,0.05,0.06,0.06,0.06,0.07,0.08,0.06,0.07,0.06,0.06,0.07,0.05,0.08,0.06,0.07,0.06,0.06,0.09,0.09,0.09,0.10,0.08,0.08,0.09,0.10,0.07,0.08,0.09,0.12,0.10,0.17,0.14,0.12,0.13,0.17,0.19,0.17,0.14,0.19,0.20,0.21,0.22,0.24,0.24,0.18,0.29,0.35,
336.00,0.04,0.05,0.07,0.06,0.07,0.08,0.08,0.06,0.05,0.06,0.06,0.07,0.05,0.07,0.06,0.07,0.06,0.05,0.08,0.09,0.08,0.10,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.12,0.09,0.17,0.14,0.13,0.13,0.16,0.19,0.17,0.14,0.20,0.20,0.21,0.22,0.24,0.24,0.18,0.28,0.34,
337.00,0.04,0.06,0.07,0.06,0.07,0.08,0.08,0.06,0.05,0.06,0.07,0.07,0.06,0.07,0.05,0.07,0.05,0.06,0.07,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.12,0.09,0.17,0.14,0.14,0.13,0.16,0.20,0.15,0.14,0.20,0.20,0.21,0.23,0.25,0.24,0.18,0.29,0.34,
338.00,0.05,0.06,0.07,0.06,0.07,0.08,0.08,0.06,0.05,0.06,0.06,0.07,0.07,0.07,0.05,0.08,0.05,0.06,0.08,0.09,0.08,0.09,0.10,0.08,0.08,0.09,0.09,0.10,0.08,0.13,0.10,0.17,0.14,0.14,0.13,0.16,0.21,0.16,0.14,0.19,0.20,0.21,0.23,0.25,0.24,0.18,0.29,0.35,
339.00,0.06,0.08,0.07,0.06,0.06,0.08,0.07,0.07,0.05,0.06,0.06,0.06,0.08,0.07,0.06,0.08,0.04,0.07,0.08,0.09,0.08,0.11,0.11,0.08,0.08,0.09,0.10,0.10,0.09,0.13,0.10,0.16,0.14,0.14,0.13,0.17,0.22,0.16,0.15,0.19,0.21,0.21,0.23,0.25,0.24,0.18,0.30,0.36,
340.00,0.06,0.08,0.07,0.06,0.06,0.09,0.07,0.06,0.05,0.06,0.05,0.07,0.09,0.07,0.06,0.07,0.04,0.07,0.08,0.08,0.10,0.11,0.11,0.09,0.08,0.09,0.10,0.09,0.10,0.13,0.11,0.17,0.15,0.14,0.14,0.18,0.22,0.16,0.16,0.20,0.21,0.22,0.23,0.26,0.24,0.18,0.31,0.36,
341.00,0.06,0.07,0.06,0.06,0.06,0.08,0.07,0.06,0.06,0.06,0.05,0.07,0.10,0.07,0.06,0.07,0.04,0.08,0.09,0.09,0.11,0.10,0.11,0.08,0.08,0.09,0.09,0.08,0.10,0.13,0.12,0.18,0.15,0.15,0.14,0.17,0.21,0.17,0.17,0.20,0.21,0.22,0.24,0.26,0.24,0.18,0.31,0.36,
342.00,0.06,0.06,0.06,0.06,0.05,0.07,0.07,0.07,0.07,0.06,0.05,0.07,0.09,0.07,0.06,0.08,0.05,0.07,0.08,0.10,0.10,0.11,0.11,0.08,0.08,0.08,0.09,0.08,0.10,0.12,0.12,0.17,0.15,0.14,0.14,0.17,0.21,0.19,0.17,0.20,0.19,0.22,0.23,0.26,0.24,0.17,0.31,0.36,
343.00,0.06,0.05,0.05,0.06,0.05,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.08,0.07,0.06,0.09,0.05,0.07,0.09,0.09,0.11,0.11,0.10,0.09,0.08,0.08,0.09,0.08,0.11,0.12,0.12,0.19,0.15,0.13,0.13,0.18,0.22,0.19,0.17,0.19,0.19,0.23,0.24,0.25,0.23,0.17,0.30,0.36,
344.00,0.07,0.05,0.06,0.05,0.05,0.07,0.07,0.07,0.06,0.06,0.06,0.08,0.07,0.07,0.07,0.09,0.05,0.07,0.09,0.10,0.11,0.10,0.10,0.09,0.09,0.08,0.09,0.09,0.10,0.12,0.12,0.20,0.16,0.13,0.14,0.18,0.21,0.19,0.16,0.20,0.18,0.23,0.23,0.25,0.23,0.18,0.29,0.35,
345.00,0.06,0.05,0.05,0.05,0.05,0.07,0.08,0.08,0.06,0.06,0.07,0.08,0.07,0.06,0.07,0.09,0.05,0.07,0.08,0.10,0.11,0.10,0.09,0.09,0.10,0.08,0.09,0.10,0.10,0.12,0.11,0.20,0.16,0.14,0.13,0.18,0.21,0.19,0.16,0.19,0.18,0.22,0.23,0.25,0.23,0.18,0.29,0.36,
346.00,0.07,0.06,0.06,0.05,0.06,0.07,0.08,0.07,0.06,0.06,0.07,0.08,0.08,0.06,0.07,0.08,0.06,0.07,0.08,0.09,0.11,0.10,0.09,0.08,0.10,0.09,0.10,0.10,0.10,0.12,0.11,0.20,0.17,0.13,0.12,0.19,0.21,0.18,0.16,0.19,0.19,0.22,0.22,0.25,0.24,0.18,0.29,0.36,
347.00,0.06,0.06,0.06,0.05,0.05,0.06,0.08,0.07,0.06,0.06,0.08,0.07,0.08,0.06,0.07,0.08,0.06,0.07,0.08,0.09,0.12,0.11,0.10,0.08,0.11,0.09,0.10,0.11,0.10,0.12,0.10,0.21,0.18,0.14,0.12,0.19,0.22,0.18,0.16,0.19,0.21,0.22,0.22,0.25,0.25,0.19,0.29,0.37,
348.00,0.07,0.07,0.07,0.06,0.05,0.07,0.08,0.07,0.06,0.07,0.08,0.08,0.08,0.07,0.08,0.08,0.06,0.07,0.09,0.10,0.11,0.11,0.10,0.08,0.12,0.10,0.11,0.11,0.10,0.13,0.09,0.20,0.18,0.14,0.12,0.19,0.22,0.17,0.16,0.19,0.21,0.22,0.22,0.25,0.26,0.21,0.30,0.38,
349.00,0.07,0.07,0.07,0.06,0.05,0.07,0.09,0.08,0.07,0.07,0.07,0.07,0.08,0.06,0.07,0.08,0.06,0.07,0.09,0.10,0.12,0.11,0.10,0.08,0.13,0.11,0.11,0.11,0.10,0.13,0.10,0.20,0.18,0.16,0.12,0.19,0.22,0.17,0.16,0.20,0.22,0.22,0.23,0.26,0.28,0.21,0.31,0.38,
350.00,0.07,0.07,0.07,0.07,0.05,0.07,0.08,0.07,0.08,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.09,0.10,0.12,0.12,0.11,0.09,0.12,0.11,0.11,0.10,0.11,0.12,0.10,0.20,0.17,0.16,0.13,0.18,0.22,0.18,0.18,0.21,0.23,0.24,0.24,0.27,0.27,0.21,0.32,0.38,
351.00,0.07,0.07,0.07,0.08,0.05,0.08,0.09,0.08,0.07,0.08,0.08,0.07,0.08,0.07,0.07,0.08,0.08,0.07,0.10,0.09,0.12,0.12,0.11,0.09,0.11,0.11,0.12,0.10,0.12,0.12,0.10,0.21,0.18,0.17,0.13,0.18,0.22,0.20,0.17,0.21,0.23,0.24,0.26,0.27,0.28,0.22,0.33,0.40,
352.00,0.07,0.06,0.06,0.07,0.06,0.08,0.09,0.09,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.08,0.09,0.06,0.10,0.10,0.13,0.12,0.11,0.10,0.10,0.10,0.12,0.10,0.13,0.13,0.11,0.21,0.18,0.17,0.13,0.20,0.22,0.20,0.18,0.21,0.23,0.25,0.27,0.28,0.28,0.22,0.33,0.40,
353.00,0.07,0.07,0.06,0.07,0.06,0.08,0.09,0.08,0.07,0.07,0.07,0.08,0.08,0.06,0.07,0.09,0.09,0.06,0.10,0.10,0.13,0.12,0.11,0.11,0.10,0.10,0.11,0.10,0.13,0.13,0.11,0.22,0.17,0.17,0.13,0.20,0.22,0.20,0.18,0.21,0.23,0.25,0.27,0.28,0.27,0.22,0.34,0.40,
354.00,0.07,0.07,0.05,0.07,0.06,0.08,0.09,0.08,0.07,0.07,0.08,0.08,0.08,0.07,0.07,0.08,0.09,0.06,0.10,0.09,0.12,0.12,0.11,0.12,0.09,0.09,0.11,0.09,0.13,0.13,0.10,0.21,0.18,0.17,0.14,0.20,0.22,0.21,0.19,0.21,0.23,0.24,0.28,0.28,0.25,0.21,0.34,0.41,
