AERONET Version 3
Thessaloniki
Version 3: Almucantar Level 1.5 Inversion
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
All Points,Contact: PI=Dimitris_Balis; PI Email=balis@auth.gr 
UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html
Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Absorption_Angstrom_Exponent_440-870nm,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
Thessaloniki,25:04:2025,07:25:00,115,115.309028,0.017821,0.005503,0.004253,0.003847,2.166032,47.423758,47.952610,0.913404,0.032843,0.216534,4,10,8,3,4,10,8,3,4,10,8,3,4,10,7,4,0.054610,0.090320,0.193420,0.196160,0,0,28:04:2025,22:04:49,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,25:04:2025,08:03:44,115,115.335926,0.023827,0.008757,0.006550,0.005694,1.938249,40.868960,41.354994,0.817191,0.031861,0.248878,4,11,9,1,4,11,8,2,4,11,8,2,4,11,8,2,0.052210,0.087340,0.186930,0.189950,0,0,28:04:2025,22:09:41,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,25:04:2025,14:31:59,115,115.605544,0.014624,0.005085,0.003136,0.002572,2.277795,60.307238,59.744792,1.695239,0.097119,0.189979,3,10,8,5,3,10,8,4,3,10,8,3,3,10,8,4,0.065690,0.102910,0.215840,0.215770,0,0,28:04:2025,22:11:58,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,25:04:2025,15:06:20,115,115.629398,0.010653,0.003068,0.001750,0.001457,2.673606,66.784428,66.217024,2.146765,0.082889,0.166603,4,10,7,6,4,10,5,6,4,10,5,6,4,10,5,6,0.077610,0.116190,0.236960,0.235400,0,0,28:04:2025,22:16:33,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,26:04:2025,15:39:27,116,116.652396,0.003949,0.002502,0.001951,0.001675,1.036192,72.876097,72.309917,32.779894,0.607018,0.306685,4,10,7,3,4,3,2,1,4,3,2,1,4,2,2,3,0.094090,0.134610,0.265680,0.262290,0,0,29:04:2025,17:43:13,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,28:04:2025,13:52:45,118,118.578299,0.001402,0.000917,0.000723,0.000623,0.972618,52.490636,51.940546,3.551766,0.203177,0.168511,3,10,8,4,3,4,6,4,3,3,5,4,3,6,6,4,0.058230,0.094310,0.200350,0.201650,0,0,01:05:2025,19:34:23,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,28:04:2025,14:31:22,118,118.605116,0.004562,0.001927,0.001399,0.001198,1.761072,59.676565,59.112979,3.446692,0.107565,0.161128,3,10,8,5,3,10,8,4,3,10,6,5,3,11,5,3,0.064680,0.101810,0.214090,0.214280,0,0,01:05:2025,19:39:32,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,28:04:2025,15:05:31,118,118.628831,0.003551,0.001767,0.001321,0.001134,1.468033,66.123632,65.555924,4.929449,0.042222,0.147970,4,10,7,6,4,10,7,5,3,10,7,5,3,10,7,4,0.073460,0.112000,0.231970,0.230850,0,0,01:05:2025,19:44:08,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,28:04:2025,15:40:27,118,118.653090,0.001662,0.001063,0.000837,0.000722,1.009471,72.727456,72.161718,9.624179,0.034100,0.138409,4,10,7,6,4,10,7,4,4,10,7,3,4,10,7,3,0.086890,0.127510,0.258430,0.255410,0,0,01:05:2025,19:48:23,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,29:04:2025,07:19:19,119,119.305081,0.010312,0.004595,0.002997,0.002543,1.818487,47.457937,47.995069,6.450505,0.475805,0.123910,4,10,8,3,4,10,6,2,4,10,5,2,4,10,4,2,0.055030,0.090750,0.193870,0.196620,0,0,02:05:2025,16:33:11,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,29:04:2025,07:58:12,119,119.332083,0.013772,0.003052,0.002016,0.001857,2.888009,40.738091,41.237246,2.039743,0.132871,0.105251,4,11,9,1,4,8,9,1,4,7,8,2,4,1,8,2,0.052470,0.087600,0.187130,0.190180,0,0,02:05:2025,16:35:31,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,29:04:2025,13:52:35,119,119.578183,0.018003,0.006011,0.004945,0.004900,1.962547,52.283894,51.733073,1.418773,0.047972,0.114502,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.058090,0.094140,0.200030,0.201360,0,0,02:05:2025,16:54:26,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,29:04:2025,15:41:27,119,119.653785,0.019967,0.007162,0.005557,0.005202,1.927926,72.748907,72.183497,1.000372,0.007807,0.108926,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.086840,0.127480,0.258460,0.255400,0,0,02:05:2025,17:03:53,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,30:04:2025,04:57:34,120,120.206644,0.025856,0.007547,0.005837,0.005768,2.252547,73.745191,74.309655,1.420518,0.019052,0.089275,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.089990,0.132090,0.267030,0.267750,0,0,03:05:2025,17:46:33,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,30:04:2025,05:47:23,120,120.241238,0.022952,0.006051,0.004891,0.005211,2.352868,64.319838,64.888312,1.017467,0.053688,0.089386,3,10,8,5,3,10,8,5,3,10,8,5,3,10,7,5,0.070420,0.109110,0.227810,0.229460,0,0,03:05:2025,17:52:49,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,30:04:2025,06:44:44,120,120.281065,0.028792,0.008466,0.006146,0.005943,2.324397,53.539040,54.095772,2.859006,0.209953,0.121204,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.058600,0.095100,0.202520,0.204950,0,0,03:05:2025,17:56:17,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,30:04:2025,07:19:28,120,120.305185,0.025186,0.008623,0.006759,0.007089,1.986927,47.200964,47.738895,2.560911,0.101860,0.103695,4,10,8,3,4,10,8,3,4,10,8,3,4,10,8,3,0.054830,0.090530,0.193500,0.196250,0,0,03:05:2025,18:02:44,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,30:04:2025,07:58:20,120,120.332176,0.022460,0.006170,0.004318,0.004442,2.478316,40.470920,40.971268,1.522838,0.096040,0.095599,4,11,9,1,4,11,9,1,4,11,9,1,4,11,8,2,0.052320,0.087420,0.186840,0.189900,0,0,03:05:2025,18:05:27,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,01:05:2025,06:41:42,121,121.278958,0.010495,0.003001,0.002053,0.001861,2.445583,53.885818,54.444212,2.191810,0.088537,0.118832,4,10,8,4,4,9,8,4,4,8,8,4,4,6,7,4,0.058970,0.094980,0.204030,0.205990,0,0,04:05:2025,16:44:24,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,01:05:2025,07:16:32,121,121.303148,0.012601,0.003938,0.003370,0.003983,2.013648,47.502695,48.043527,0.992664,0.082904,0.126582,4,10,8,3,4,10,8,3,4,10,8,3,4,10,7,4,0.055200,0.090460,0.194930,0.197310,0,0,04:05:2025,16:51:00,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,01:05:2025,07:55:25,121,121.330150,0.016724,0.004947,0.004076,0.004251,2.148855,40.718781,41.224071,1.162991,0.043792,0.134885,4,11,9,1,4,11,9,1,4,11,8,2,4,11,8,2,0.052620,0.087330,0.188160,0.190900,0,0,04:05:2025,16:57:05,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,02:05:2025,07:52:06,122,122.327847,0.017520,0.006613,0.004982,0.004256,1.887208,41.045814,41.556271,1.985217,0.152136,0.194228,4,11,8,2,4,11,8,2,4,11,8,2,4,11,8,2,0.052610,0.087340,0.188330,0.191050,0,0,05:05:2025,23:58:44,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,02:05:2025,15:44:10,122,122.655671,0.001357,0.000874,0.000680,0.000584,1.013946,72.765766,72.201451,27.279387,0.096782,0.204194,4,8,1,2,4,9,1,1,4,8,2,2,4,10,3,1,0.088410,0.128180,0.260610,0.256820,0,0,06:05:2025,00:06:18,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,03:05:2025,04:56:01,123,123.205567,0.026174,0.012021,0.009135,0.008373,1.570777,73.414561,73.978031,1.346923,0.016797,0.156244,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.094200,0.135410,0.271220,0.271440,0,0,06:05:2025,21:02:24,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,03:05:2025,05:44:21,123,123.239132,0.022592,0.008565,0.006434,0.005803,1.884130,64.276674,64.845389,0.755201,0.006783,0.153529,3,10,7,5,3,10,7,5,3,10,8,5,3,10,8,5,0.071450,0.109510,0.229620,0.230820,0,0,06:05:2025,21:08:09,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,03:05:2025,06:39:28,123,123.277407,0.015781,0.006091,0.004740,0.004438,1.810069,53.884825,54.444941,1.354133,0.042436,0.135386,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.058760,0.094770,0.203830,0.205820,0,0,06:05:2025,21:14:52,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,03:05:2025,07:14:26,123,123.301690,0.018995,0.010370,0.007922,0.007222,1.294997,47.449269,47.993117,2.452516,0.128347,0.148810,4,10,8,3,4,10,8,3,4,10,8,3,4,10,7,4,0.054820,0.090070,0.194510,0.196890,0,0,06:05:2025,21:17:04,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,03:05:2025,07:53:09,123,123.328576,0.015193,0.007515,0.005752,0.005213,1.445882,40.641068,41.151595,1.682904,0.261155,0.151042,4,11,9,1,4,11,9,1,4,10,8,2,4,11,8,2,0.052310,0.087010,0.187800,0.190550,0,0,06:05:2025,21:22:08,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,03:05:2025,15:45:10,123,123.656366,0.020797,0.011217,0.009057,0.008468,1.241124,72.791138,72.227255,2.214491,0.015751,0.176347,4,10,7,6,4,10,7,6,4,10,7,6,4,10,6,6,0.095620,0.135190,0.267460,0.263240,0,0,06:05:2025,21:29:51,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,04:05:2025,07:14:06,124,124.301458,0.003022,0.001976,0.001540,0.001322,0.988552,47.301637,47.846484,14.601724,0.434357,0.193645,4,10,8,3,4,10,8,3,4,10,6,3,4,10,5,2,0.054750,0.089990,0.194350,0.196730,0,0,07:05:2025,16:58:11,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,05:05:2025,13:51:51,125,125.577674,0.027417,0.016180,0.014025,0.013560,1.007954,51.129365,50.574541,2.791954,0.055723,0.191667,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.057420,0.092820,0.199240,0.200300,0,0,09:05:2025,02:33:17,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,06:05:2025,05:40:38,126,126.236551,0.007964,0.002321,0.001737,0.001502,2.297954,64.406988,64.975663,37.421491,0.430476,0.278238,3,10,7,4,3,10,4,4,3,10,4,3,3,10,4,1,0.071400,0.109470,0.229720,0.230840,0,0,09:05:2025,22:53:29,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,06:05:2025,13:51:35,126,126.577488,0.013265,0.001514,0.000841,0.000810,-999.000000,50.916423,50.361075,2.177148,0.081277,0.163426,3,8,8,4,3,7,3,4,3,7,4,4,3,10,5,4,0.057310,0.092690,0.198950,0.200060,0,0,09:05:2025,22:57:48,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,07:05:2025,04:50:42,127,127.201875,0.003210,0.001147,0.000898,0.000770,1.922186,73.647024,74.208094,12.240460,0.249570,0.164152,4,10,6,6,4,10,4,2,4,10,3,1,4,10,3,1,0.095590,0.136920,0.273220,0.273520,0,0,10:05:2025,21:25:30,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,07:05:2025,07:09:53,127,127.298530,0.018230,0.003432,0.002935,0.004484,2.802699,47.479278,48.028758,1.896004,0.117511,0.177385,4,10,8,3,4,10,8,3,4,10,8,3,4,10,7,4,0.054890,0.090150,0.194620,0.197000,0,0,10:05:2025,21:28:00,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,08:05:2025,05:38:53,128,128.235336,0.025780,0.011054,0.007834,0.007710,1.769181,64.380748,64.949272,2.361916,0.046490,0.187465,3,9,6,5,3,10,8,5,3,10,8,5,3,10,8,4,0.071620,0.109700,0.229930,0.231120,0,0,11:05:2025,22:12:27,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,08:05:2025,06:34:08,128,128.273704,0.021843,0.003558,0.002803,0.004596,3.135494,53.933228,54.496845,1.210510,0.035960,0.206536,4,10,8,4,4,10,8,4,4,10,8,4,4,10,4,3,0.058890,0.094910,0.204030,0.205990,0,0,11:05:2025,22:14:51,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,08:05:2025,07:08:31,128,128.297581,0.022691,0.005886,0.004000,0.004456,2.605858,47.544282,48.095156,0.970820,0.032962,0.198559,4,10,8,3,4,10,8,3,4,10,8,3,4,10,6,4,0.054940,0.090200,0.194720,0.197090,0,0,11:05:2025,22:17:13,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,09:05:2025,04:47:58,129,129.199977,0.011074,0.002711,0.001794,0.001711,2.730824,73.804109,74.363791,2.929669,0.035332,0.081535,4,10,6,6,4,10,6,4,4,10,6,3,4,10,7,2,0.099860,0.141940,0.280050,0.279190,0,0,12:05:2025,22:07:24,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,10:05:2025,06:33:53,130,130.273530,0.002363,0.001423,0.001077,0.000904,1.154503,53.637756,54.202082,1.833017,0.114568,0.080006,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,3,0.061370,0.097670,0.206600,0.208180,0,0,13:05:2025,18:19:25,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,12:05:2025,05:34:58,132,132.232616,0.007698,0.004815,0.003665,0.003100,1.088012,64.467855,65.035762,2.656059,0.192462,0.140423,3,10,8,5,3,10,8,4,3,10,7,2,3,10,4,1,0.074380,0.112940,0.233900,0.234300,0,0,15:05:2025,22:10:16,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,12:05:2025,06:30:26,132,132.271134,0.015140,0.006914,0.005369,0.004616,1.551268,53.966482,54.532091,1.836612,0.128372,0.181125,4,10,8,4,4,10,8,4,4,10,8,4,4,10,5,2,0.061510,0.097870,0.207090,0.208650,0,0,15:05:2025,22:13:22,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,12:05:2025,07:04:45,132,132.294965,0.009962,0.006462,0.004986,0.004252,1.013619,47.553840,48.108941,3.844948,0.377840,0.170784,4,10,8,3,4,3,8,3,4,7,7,2,4,10,4,1,0.057380,0.092910,0.197280,0.199390,0,0,15:05:2025,22:15:13,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,14:05:2025,14:43:33,134,134.613576,0.009136,0.005234,0.003908,0.003292,1.249897,59.471439,58.903230,2.781468,0.100782,0.279571,3,10,8,5,3,10,8,5,3,11,7,5,4,10,7,5,0.067550,0.104390,0.218110,0.217190,0,0,17:05:2025,19:37:38,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,18:05:2025,04:40:35,138,138.194850,0.013999,0.007582,0.005547,0.004832,1.364096,73.829932,74.384016,1.451776,0.033684,0.090313,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,5,0.096650,0.138540,0.274120,0.274320,0,0,21:05:2025,18:45:38,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,18:05:2025,05:30:10,138,138.229282,0.013173,0.006319,0.004774,0.004100,1.510721,64.548835,65.115309,1.209801,0.068794,0.095852,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,4,0.074110,0.112600,0.231110,0.232600,0,0,21:05:2025,18:51:47,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,18:05:2025,06:25:44,138,138.267870,0.010975,0.005220,0.003955,0.003380,1.520223,54.023883,54.591419,1.258581,0.142509,0.091585,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.061260,0.097560,0.204200,0.206710,0,0,21:05:2025,18:54:49,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,18:05:2025,07:00:08,138,138.291759,0.007641,0.004095,0.003173,0.002716,1.305045,47.556795,48.116637,1.748206,0.160295,0.093028,4,10,8,3,4,10,8,3,4,10,8,3,4,10,7,4,0.057150,0.092630,0.194360,0.197360,0,0,21:05:2025,18:57:32,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,18:05:2025,13:51:39,138,138.577535,0.006119,0.003974,0.003155,0.002739,0.974231,49.115811,48.554629,3.806268,0.225428,0.099667,3,10,8,4,3,10,8,4,3,11,7,4,4,10,7,4,0.058380,0.093810,0.196120,0.198000,0,0,21:05:2025,19:02:48,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,18:05:2025,14:45:37,138,138.615012,0.005566,0.003569,0.002811,0.002432,1.004608,59.303405,58.735093,4.198605,0.233967,0.104027,3,10,8,5,3,11,7,5,3,11,7,4,4,10,7,5,0.066920,0.103680,0.214650,0.214810,0,0,21:05:2025,19:08:13,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,18:05:2025,15:20:20,138,138.639120,0.003315,0.001602,0.001210,0.001036,1.499636,65.865594,65.300387,1.775341,0.053817,0.089835,4,10,7,6,3,10,7,6,3,10,7,6,3,10,8,5,0.076260,0.114400,0.233530,0.232120,0,0,21:05:2025,19:14:10,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,18:05:2025,15:58:21,138,138.665521,0.011236,0.006613,0.005261,0.004682,1.124876,72.970891,72.414970,2.506545,0.048235,0.108196,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.091520,0.131890,0.263540,0.259740,0,0,21:05:2025,19:18:59,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,19:05:2025,04:40:41,139,139.194919,0.016100,0.005620,0.003983,0.003549,2.089048,73.687397,74.241141,1.584731,0.029554,0.117094,4,10,7,6,4,9,6,5,4,9,4,5,4,10,5,5,0.098980,0.140890,0.276230,0.276730,0,0,22:05:2025,16:35:46,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,19:05:2025,06:59:47,139,139.291516,0.016582,0.008130,0.005784,0.004783,1.555668,47.499696,48.060067,3.687663,0.314172,0.423279,4,10,8,3,4,10,8,3,4,10,8,3,4,10,7,4,0.057090,0.092570,0.194250,0.197260,0,0,19:05:2025,10:09:40,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,20:05:2025,04:40:43,140,140.194942,0.017057,0.008309,0.006442,0.005871,1.452827,73.562454,74.115834,2.325092,0.063158,0.113337,4,10,7,6,4,10,7,6,4,10,5,4,4,10,6,3,0.098260,0.140090,0.275130,0.275520,0,0,23:05:2025,17:02:59,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,20:05:2025,05:28:46,140,140.228310,0.005545,0.002588,0.001955,0.001702,1.553900,64.579451,65.145351,1.830974,0.055611,0.098505,3,10,8,5,3,10,5,5,3,10,6,5,3,10,6,4,0.074420,0.112940,0.231510,0.233100,0,0,23:05:2025,17:05:15,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,20:05:2025,06:24:51,140,140.267257,0.010701,0.003500,0.002641,0.002306,2.107908,53.958168,54.526071,1.029239,0.088776,0.101877,4,10,8,4,4,10,8,4,4,9,8,4,4,10,8,4,0.061010,0.097300,0.203880,0.206400,0,0,23:05:2025,17:13:39,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,20:05:2025,06:59:19,140,140.291192,0.010888,0.005521,0.004198,0.003715,1.416116,47.470089,48.031003,4.950554,0.235781,0.106807,4,10,8,3,4,10,8,3,4,10,8,2,4,10,5,3,0.056950,0.092420,0.194080,0.197090,0,0,23:05:2025,17:15:54,1247,40.630000,22.960000,60.000000,lev15,Almucantar
